reason,company,product_descrpition,brand_name,date
Salmonella,Gretchen’s Shoebox Express,Protein Bistro Box,Starbucks,10/2012
Salmonella,Xan Confections,Gourmet peanut butter chocolate products,Xan Confections,10/2012
Salmonella,Whole Foods Market,Chicken Spring Rolls and Peanut Sesame Noodles,Whole Foods Market,10/2012
Listeria monocytogenes,Kenny&#39;s Farmhouse Cheese,Variety of Cheeses,Kenny&#39;s Farmhouse Cheese,10/2012
Salmonella,Whole Foods Market,Peanut Butter Power Chews and Treasure Trove Mix,,09/2012
Salmonella,Jer&#39;s Chocolates,Peanut Butter Bars,Jer&#39;s,09/2012
Undeclared peanuts,Grand BK Corp.,Crisp mix,Goodies By Nature,09/2012
Salmonella,"Late July Snacks, LLC",Mini Peanut Butter Sandwich Crackers,Late July,09/2012
Salmonella,Stop&amp;Shop,Crackers,Late July Organic Snacks,09/2012
Salmonella,"Del Monte Fresh Produce N.A., Inc.",Fresh-cut fruit,Del Monte,09/2012
Salmonella,Fairytale Brownies,Brownies and cookies,Fairytale Brownies,09/2012
Listeria monocytogenes,Dale and Thomas Popcorn,Popcorn with select flavors,Popcorn Indiana,09/2012
Salmonella,Newman&#39;s Own Organics,Sandwich Creme Cookies,Newman-O&#39;s,09/2012
Listeria monocytogenes,Fresh Express Inc.,Hearts of Romaine Salad,Fresh Express,09/2012
Salmonella,Harry and David LLC.,Nut butters,Harry and David,09/2012
Salmonella,Oregon Ice Cream Company,Ice Cream,Alden&#39;s and Cascade Glacier,09/2012
Listeria monocytogenes,Forever Cheese Inc.,Cheese,Marte,09/2012
Salmonella,Whole Foods,Cookies,Whole Foods,09/2012
Undeclared Peanuts,General Mills,Granola bars,Nature Valley,09/2012
Salmonella,Justin&#39;s,Peanut butter,Justin&#39;s,09/2012
Salmonella,"Chattanooga Bakery, Inc.",Peanut butter crunch,Moon Pie,09/2012
Salmonella,Falcon Trading Company/SunRidge Farms,Candy,Sunridge Candy,09/2012
Device may cause tissue damage,Stryker,Waste management system,Stryker Neptune,09/2012
Salmonella,Gretchen’s Shoebox Express,Cinnamon apple &amp; almond butter sandwich and almond butter,Evolution Fresh,09/2012
Listeria Monocytogenes,Publix Supermarkets,Hearts of Romaine,Publix,09/2012
Undeclared milk and soy,"Hanover Pike Enterprises, Inc",Jam and Jelly,"Jill’s Jams Mixes and More, Jill’s Jams and Jellies",09/2012
Salmonella,Sunland Inc.,Almond Butter and Peanut Butter,"Sunland, Trader Joe&#39;s, Archer Farms, and more",09/2012
Salmonella,Trader Joe&#39;s,Creamy Salted Valencia Peanut Butter,Trader Joe&#39;s,09/2012
Salmonella,Sunland Inc.,Dog Food,Dogsbutter,09/2012
Salmonella,Fresh &amp;amp; Easy,Nut butters,Fresh &amp; Easy and Sunland,09/2012
Salmonella,Sunland Inc.,"Cashew Butter, Tahini and Roasted Blanched Peanuts","Sunland, Trader Joe&#39;s, Archer Farms, and more",09/2012
Listeria monocytogenes,Fress Express Inc.,Leafy Green Romaine Salad,Fresh Express,09/2012
Salmonella,Kasel Associated Industries,Pet Treat,Boots &amp; Barkley,09/2012
Undeclared milk shellfish and coconut,Maine Natural Health,Protein Supplement,"Pure Whey in Maine Natural Health and Stronger Faster Healthier, Fortified and Endurance Daily in Stronger Faster Healthier,  Recovery and Rejuvenate in Maine Natural Health and more",09/2012
Salmonella,Del Monte Fresh Produce,Cut Mango Products,Del Monte,09/2012
Tablets are thicker and darker than specification,"Watson Laboratories, Inc.",Hydrocodone Bitartrate and APAP Tablets,Watson,09/2012
Salmonella,"GHSW, LLC",Mango Products,"Garden Highway, Signature Café",09/2012
Listeria monocytogenes,Kroger,Spinach,Kroger Fresh Selections,09/2012
Listeria monocytogenes,Peterson Company,cheese,Ricotta Salata Frescolina,09/2012
Salmonella,FreshLine/Caito Foods Service,Mango products,"Delish, Garden Highway, Signature Cafe, more",09/2012
Salmonella,United Salad Co.,Mango products,"Zupan&#39;s, Mary&#39;s Select, United Salad Co., more",09/2012
Listeria monocytogenes,"Forever Cheese, Inc.",Cheese,Marte,09/2012
May contain small plastic objects,University Creamery dba Berkey Creamery,Ice cream and frozen yogurt,Berkey Creamery,09/2012
Due to potential contamination with Salmonella,Cut Fruit Express Inc.,Fresh cut fruit products containing cantaloupes,H. Brooks &amp;amp Company,09/2012
Listeria monocytogenes,Whole Foods Market,Cheese,Ricotta Salata Frescolina,09/2012
Listeria monocytogenes,Spartan Stores,Various Deli Products,Spartan,09/2012
Salmonella,DFI Marketing Inc.,cantaloupes,DFI,09/2012
Unapproved new drug,"Body Basics, Inc.",Dietary Supplement,ACTRA-Sx 500,09/2012
Possible contamination with Salmonella,Breeder&#39;s Choice Pet Food,Natural Lamb Meal &amp;amp; Brown Rice Adult Dog Formula,Breeder&#39;s Choice AvoDerm,09/2012
Listeria monocytogenes,Forever Cheese Inc.,Ricotta Salata (Cheese),Frescolina,09/2012
Tablets may exceed weight specification and could be super-potent for the ingredients Hydrocodon Bitartrate &amp; Acetaminophen,Qualitest,Hydrocodone Bitartrate &amp; Acetaminophen Tablets,Qualitest,09/2012
Undeclared milk and soy,"Dawn Food Products, Inc.",Streusel,Sam&#39;s Club,09/2012
Listeria monocytogenes,"Harris Teeter, Inc.",Seafood cakes and Crab stuffed seafood,"Harris Teeter, Inc.",09/2012
Listeria monocytogenes,"3fish, inc.",seafood cakes and stuffed fish items,"3fish, inc.",09/2012
May contain crystals of nimodipine,"Sun Pharmaceutical Industries, Inc.","Nimodipine Capsules, 30 mg",Sun Pharmaceutical Industries,09/2012
Salmonella,"ECO HEALTH, INC",PREBIOTIC FORMULA (Powder),florAlign,09/2012
Undeclared milk,"Cutting Edge Concessions, LLC",Seasoning cups,Shake&#39;Ems,09/2012
Undeclared milk,"Somersault Snack Co.,LLC",Pacific Sea Salt,Somersault,09/2012
may be contaminated with Salmonella,"F&amp;S Produce Co., Inc.",,"Delish, Garden Highway, Garden Pure and more",09/2012
Salmonella Braenderup,Winn-Dixie,Salsa and Cut Fruits,"Garden Highway, Fruit Burst, Island Medley",08/2012
Potential to be contaminated with Salmonella,"Quality Feed, Inc",Milk replacer,"Quality Feed, Inc., Dairy Princess, Peachey’s or Yo-momma",08/2012
affected blower motors,"Respironics California, Inc.",V60 Ventilators,Respironics,08/2012
Listeria monocytogenes,"Manna Organics, Inc.",Sprouts and Tofu Products,"Soonyeowon , Jinga",08/2012
potential to be contaminated with Salmonella Braenderup,Pacific Coast Fruit Company,Fresh Cut Processed Items,Pacific Coast Fruit,08/2012
potential to be contaminated with Salmonella Braenderup,Ready Pac Foods,Packaged fruit products containing mangoes,"Dining In, Ready Pac, Starbucks etc",08/2012
Salmonella Braenderup,BI-LO,Mangoes,Daniella,08/2012
Contain ephedrine alkaloids,Brand New Energy,dietary supplement -EphBurn 25,Brand New Energy,08/2012
Salmonella Braenderup,Taylor Farms New Jersey,"Mango, Pineapple, Strawberries, Mango mix, Watermelon, Pineapple Snack, Melon mix, Mixed Fruit Cup, Mixed fruit with kiwi, Mango and Yogurt Parfait",Wawa,08/2012
Potential to be contaminated with Salmonella Braenderup,Triple B Corp. dba Real Foods and Charlie&#39;s Produce,Various cut fruit products and mix,"Haggen, Costco, Metropolitan Market etc.",08/2012
Salmonella,"Food Lion, Harveys Reid&#39;s",Mangoes,Daniella,08/2012
Salmonella,World Foods LLC,Cut fruit and salsa products,"Garden Highway, Winn-Dixie",08/2012
Potential to be contaminated with Salmonella braenderup,"Spokane Produce, Inc.",Pineapple/Mango Pico de Gallo,"Garden Patch, Yoke&#39;s",08/2012
Salmonella,Splendid Products,Mangoes,Daniella,08/2012
Salmonella,Giant Food,Mangoes,Daniella,08/2012
Salmonella,Stop &amp; Shop,Mangoes,Daniella,08/2012
Possible health risk from Listeria monocytogenes,Fresh Express,Hearts of Romaine Salad,Fresh Express,08/2012
label fails to declare milk as the source of whey,True Nutrition,"Whey Protein Isolate, Whey Protein Concentrate and Hydrolyzed Whey Products",True Nutrition,08/2012
"Undeclared drug ingredients, methocarbamol, dexamethasone  and diclofenac",Samantha Lynn Inc.,Reumofan Plus Tablets,Samantha Lynn Inc.,08/2012
Undeclared Milk,Cucina Fresca Gourmet Foods,Smoked Tomato Sauce,Cucina Fresca,08/2012
Processing parameters were not met.,Protica Inc.,Protein Shakes,"Protein to Go, Nutritional Resources, Body Choice",08/2012
Undeclared Almonds,Bay Valley Foods,Salad Topping,Naturally Fresh,08/2012
Unapproved New Drug,"Evol Nutrition Associates, Inc.",Dietary Supplement,Mojo Nights,08/2012
Listeria monocytogenes,Spence &amp; Co Ltd,Smoked Salmon,"Wellsley, Spence &amp; Co",08/2012
Salmonella,"Chamberlain Farm Produce, Inc.",Cantaloupes,Chamberlain Farm,08/2012
Listeria monocytogenes,Dole Fresh Vegetables,Bagged Salad,Dole,08/2012
"Undeclared Eggs, Soy, and Wheat","JFC International, Inc.",Furikake-Seto Fumi,JFC,08/2012
Undeclared Sulfites,Optima Distributors LTD,Dried Potato,Del Campo,08/2012
Elevated levels of lead,American Licorice Company,Black Licorice,Red Vines,08/2012
E. coli O157:H7,"Tanimura &amp; Antle, Inc.",Romaine Lettuce,Tanimura &amp; Antle,08/2012
Listeria monocytogenes,"Pure Hothouse Foods, Inc.",Mushroom Trays,Meijer,08/2012
Potential degradation of foil within the DGPHP grounding pad,Covidien,"DGPHP RFA high-power single use grounding
pads and kits that contain the grounding pads",Cool-tip,08/2012
Undeclared Soy Lecithin,BI-LO,Trail Mix,Southern Home,08/2012
May contain more than the 1 mL labeled fill volume,"Hospira, Inc.","Hydromorphone Injection, USP",Hospira,08/2012
Undeclared peanuts,Hummingbird Wholesale,Pinenuts,Hummingbird Wholesale,08/2012
Visible particles embedded in the glass,"Hospira, Inc.",Propofol Injectable Emulsion,Hospira,08/2012
Listeria monocytogenes,Ciolino Produce,Sliced Mushrooms,Highline,08/2012
Undeclared almonds,Clif Bar,Energy bar,Clif Bar &amp; Company,08/2012
Listeria monocytogenes,"Missa Bay, LLC",Apples,Ready Pac,08/2012
Listeria monocytogenes,Burch Equipment LLC,Cantaloupes and Honeydew Melons,Burch Farms and Cottle Strawberry Inc. on cantaloupes no label on honeydew melons,08/2012
Salmonella,Fresco Green Farms Inc.,Cilantro,Fresco Green Farms Inc.,08/2012
Listeria monocytogenes,"Tomales Bay Foods, Inc.",Cheese,"Tomales Bay Foods, Shepherd&#39;s Way Farms, Tumalo Farms",08/2012
Salmonella,Menno Beachy,Organic Grape Tomatoes,Menno Beachy,08/2012
Undeclared sodium caseinate,Vaqueria Tres Monjitas Inc.,Juice,Tres Monjitas,08/2012
Undeclared Peanuts,Two Moms in the Raw,Crackers,Two Moms in the Raw,08/2012
Elevated levels of lead,Lucky Country Inc.,Black Licorice,Lucky Country,08/2012
Listeria monocytogenes,"Reichel Foods, Inc.","Apple Snack, Pizza Kit","Dippin&#39; Stix, Armour Active Packs",08/2012
Volume leakage and/or disconnection between the inner and outer cannulae,Covidien,Adult Tracheostomy Tubes,Sheily,08/2012
Listeria monocytogenes,Burch Equipment LLC,Whole Cantaloupes,"Burch Farms, Cottle Strawberry",08/2012
Listeria monocytogenes,"San Miguel Produce, Inc.",Comfort (Cooking) Greens Kits,Cut N Clean,08/2012
Listeria monocytogenes,Garden-Fresh Foods Inc.,Ready-to-eat Salads,"Acme, Chef&#39;s Kitchen,Copperwood Kitchens, Dairy Fresh, Finest Traditions, Garden-Fresh, Grandpas, Marsh&#39;s, Archer Farms, Market Pantry, Our Own, Rogges, Roundy&#39;s, Spartan, Spoon River,Weis",07/2012
Listeria monocytogenes,"Ken&#39;s Foods, Inc.","Tartar Sauce, BBQ Bean Sauce, Cole Slaw Dressing, Tartar Sauce, Tartar Sauce","Golden Corral, Dickey&#39;s, Lee&#39;s, Fatz, Ken&#39;s",07/2012
Undeclared coconut,Clif Bar &amp; Company,Energy Bar,Clif Bar,07/2012
Listeria monocytogenes,Hannaford Supermarkets,Cantaloupes,Burch Farms,07/2012
Listeria monocytogenes,"Cool Creations, LLC",Specific packages of products containing onions,Cool Creations and Fiesta Garden Fresh Salsa,07/2012
Has the potential to contain propylene glycol,Arthur Dogswell LLC,Cat Food,Catswell,07/2012
Listeria monocytogenes,"Wegmans Food Markets, Inc.",Prepared foods that contain chopped/diced white onions.,Wegmans,07/2012
"Undeclared Milk, Soy and Wheat","Wimberger&#39;s Old World Bakery, Inc.",Various breads and pizza dough,Wimberger&#39;s Old World Bakery,07/2012
Listeria monocytogenes,"Simmering Soup, Inc.",Salsa and Balela,Trader Joe&#39;s,07/2012
Listeria monocytogenes,Stop &amp;amp; Shop Supermarket Company LLC,Calico Bean Salad,Calico Bean Salad,07/2012
possible Staphylococcus aureus contamination,Productos Tita Corp.,"Quesito Colombiano, Colombian style Cheese",Tita,07/2012
Listeria monocytogenes,Whole Foods Market,"Prepared salads, dressings and sandwich rolls",Whole Foods Market,07/2012
Listeria monocytogenes,Busch&#39;s Fresh Food Market,Several Deli Products,Busch&#39;s,07/2012
Listeria monocytogenes,"GH Foods CA, LLC",Various products containing yellow onions.,"Delish, Marketside, Raley&#39;s and various brands.",07/2012
Listeria monocytogenes,Huxtable&#39;s Kitchen,Salad,Trader Joe&#39;s,07/2012
Lack of added vitamin D,Land O’Lakes Purina Feed LLC,Poultry feed products,"Purina, Dumor",07/2012
Listeria monocytogenes,Spartan Stores,Three bean salad and broccoli stir fry,Fresh Selections,07/2012
Listeria monocytogenes,Publix Super Markets,Sub Sandwiches,Publix,07/2012
Listeria monocytogenes,"Gills Onions, LLC",Onions and onion/celery mix,Gills Onions,07/2012
potential microbial contamination with Burkholderia cepacia,DUKAL Corporation,Benzalkonium chloride swabs and antiseptic wipes,"DUKAL, Zee",07/2012
Undeclared Milk,"Mount Franklin Foods, LLC.",,Sunrise Indian Corn Candy,07/2012
Listeria monocytogenes,"Sartori Inspirations, LLC",Dips and spreads,Ciolo,07/2012
Undeclared soy and wheat flour,Spillson&#39;s LTD.,Beef Sandwich,Texas BBQ Beef Sandwich,07/2012
Elevated Vitamin D level,PMI Nutrition International,Animal Feed,"Mazuri, LabDiet",07/2012
Elevated Vitamin D Level,Land O&#39;Lakes Purina Feed LLC,Fish Meal,"Purina, Fish Chow",07/2012
Undeclared sildenafil,CRM Laboratories,X-ROCK 3 Day Pill and Z-ROCK,X-ROCK 3 Day Pill and Z-ROCK,07/2012
Salmonella,Wellements LLC,Prune Concentrate Dietary Supplement,Baby Move,07/2012
Improper pasteurization of ther milk used to make the cheese.,Productos Tita Corp.,Cheese,Tita,07/2012
Undeclared Brazil Nuts,Cass-Clay Creamery,Ice Cream,Cass-Clay,07/2012
Listeria monocytogenes,"Gills Onions, LLC","Onions, Onion Mix",Gill&#39;s Onions,07/2012
"A leak may occur in the patient breathing circuit or system, resulting in the ventilator not holding the set Positive End Expiratory Pressure (PEEP) value.",CareFusion,Ventilator,EnVe,07/2012
Potential for elevated vitamin D levels,Feed Solutions,Feed Products,"Aquamax, Mazuri, Catfish, Maz Koi, Game Fish Chow, Wellsolve, Nutri Source",07/2012
Potential for elevated vitamin D levels,PMI Nutrition International,Feed Products,"AquaMax, Mazuri, LabDiet",07/2012
Potential for elevated vitamin D levels,Land O’Lakes Purina Feed LLC,Feed Products,Purina,07/2012
Potentially contaminated with pathogenic bacteria and mold,Westone Laboratories Inc.,Ear Lubricant,Oto-Ease,07/2012
visible particles embedded in the glass located at the neck of the vial,Hospira Inc.,"Injectable carboplatin, cytarabine, paclitaxel, and methotrexate",Hospira Inc.,07/2012
Salmonella,Sedona Labs,Kids Multi-Probiotic and 4-Kids Powder Dietary Supplements,iFlora,07/2012
Listeria monocytogenes,Hannaford Supermarkets,,Hannaford,07/2012
A software problem with the MAN/AUTO switch,MAQUET,"C20, C30, C40 FLOW-i Anesthesia Systems",FLOW-i Anesthesia Systems,07/2012
Salmonella,Pacific International Marketing,Romaine lettuce,Pacific International Marketing,07/2012
Elevated vitamin D level,PMI Nutrition International,Animal feed,Mazuri,07/2012
Undeclared Milk,Arctic Zero Inc.,Frozen desserts,Arctic Zero,07/2012
Potential risk associated with fretting and corrosion at modular neck junction,Stryker,Modular-neck hip stems,"Rejuvenate, ABG II",07/2012
Undeclared Eggs,Cass-Clay Creamery,Peppermint Bon Bon Ice Cream,"Hornbacher&#39;s, Schroeder, SunnyBrook",07/2012
Undeclared eggs,Fruiti Pops Inc.,Classic coconut frozen dessert bars,Fruiti Pops,07/2012
Potential for an elevated vitamin D level.,PMI Nutrition,Animal feed,LabDiet and Mazuri Feed Products,07/2012
Crystalline particulate matter,Bedford Laboratories,Leucovorin Calcium Injection,Bedford Laboratories,07/2012
Insufficient Pasteurization,Andante Dairy,Cheese,Andante Dairy,07/2012
Listeria monocytogenes,Mexicali Cheese Corp.,Cheese,Mexicali Cheese Corp.,07/2012
Can develop cracks and leaks in the closed ventilation system.,CareFusion,Infant Breathing Circuit (Ventilation Product),AirLife,07/2012
Potential choking risk,Mars Petcare US,Dog Food,Pedigree,06/2012
Listeria monocytogenes,Mexicali Cheese Corp.,Queso Fresco Cheese,Mexicali Cheese Corp.,06/2012
Listeria monocytogenes,"Dole Fresh Vegetables, Inc.",Bagged Salad,Dole Hearts of Romaine,06/2012
Product has an off smell,ITO EN USA,Coconut water,ALOHA Maid Natural,06/2012
May contain small metal fragments,BI-LO,Pasta Salad,BI-LO,06/2012
Salmonella,"Standard Process, Inc.",Dietary Supplements,"Cataplex ACP, Cataplex C, Pancreatrophin PMG",06/2012
Particulate matter,Bedford Laboratories,Vecuronium Bromide Injection,Bedford Laboratories,06/2012
May contain small metal fragments,Winn-Dixie,Cheeseburger Macaroni Skillet Dinner,Winn-Dixie,06/2012
Salmonella,Banner Mountain Sprouts,Sprouts,Banner Mountain Sprouts,06/2012
potential to be contaminated with Clostridium botulinum,Healthy Choice Island Blends Inc.,Carrot Juice,Liquid Gold,06/2012
Listeria monocytogenes,"Dole Fresh Vegetables, Inc.",Bagged Salads,"Fresh Selections, Marketside",06/2012
Salmonella,Leasa Industries Co.,Living Alfalfa Sprouts,Leasa,06/2012
The fish is uneviscerated and may pose a Clostridium botulinum hazard.,Euphoria Fancy Food Inc.,Dried Bream,Euphoria Fancy Food Inc.,06/2012
Capacitor-related fires,Nidek Medical Products Inc.,Oxygen Concentrators,Nidek,06/2012
Undeclared eggs,Hannaford Supermarkets,Mini Frosted Cookies,Hannaford,06/2012
Undeclared Soy,Truitt Bros Inc.,Navy Beans,Truitt Brothers,06/2012
Fudge covered wafer pieces have been manufactured on shared equipment that processes peanuts and tree nuts.,Unilever,Ice Cream,Ben &amp; Jerry&#39;s,06/2012
Listeria monocytogenes,Golden Glen Creamery,Red Pepper with Onion &amp; Garlic Cheddar,Golden Glen Creamery,06/2012
Undeclared Walnuts,Best Maid Cookie Company,Cookies,Sienna Bakery,06/2012
May contain small metal fragments,Bay Valley Foods,Boxed Pasta Mix Products,"Reggano, HEB, Food Club, more",06/2012
Packaging flaw,Sandoz Inc.,Oral Contraceptive,Introvale,06/2012
Salmonella,Botanical Laboratories Inc.,Dietary Supplement,Wellesse,06/2012
The shellfish was harvested from waters that may have been exposed to inadequate sanitation controls,Crown Prince Seafood,Oysters,Crown Prince,06/2012
